stockCode,stockName
300185,通裕重工
300188,国投智能
300203,聚光科技
300206,理邦仪器
300208,中程退(退市)
300224,正海磁材
300226,上海钢联
300229,拓尔思
300232,洲明科技
300233,金城医药
300236,上海新阳
300260,新莱应材
300261,雅本化学
300263,隆华科技
300267,尔康制药
300271,华宇软件
300284,苏交科
300294,博雅生物
300298,三诺生物
300303,聚飞光电
300315,掌趣科技
300319,麦捷科技
300323,华灿光电
300327,中颖电子
300332,天壕能源
300339,润和软件
300343,ST联创
300346,南大光电
300348,长亮科技
300352,北信源
300358,楚天科技
300366,ST创意
300369,绿盟科技
300377,赢时胜
300379,东通退(退市)
300382,斯莱克
300393,中来股份
300398,飞凯材料
300401,花园生物
300406,九强生物
300409,道氏技术
300416,苏试试验
300428,立中集团
300432,富临精工
300443,金雷股份
300451,创业慧康
300455,航天智装
300456,赛微电子
300457,赢合科技
300458,全志科技
300459,汤姆猫
300463,迈克生物
300470,中密控股
300475,香农芯创
300476,胜宏科技
300482,万孚生物
300497,富祥药业
300525,博思软件
300527,ST应急
300567,精测电子
300573,兴齐眼药
300579,数字认证
300587,天铁科技
300593,新雷能
300596,利安隆
300598,诚迈科技
300602,飞荣达
300613,富瀚微
300618,寒锐钴业
300620,光库科技
300623,捷捷微电
300624,万兴科技
300627,华测导航
300630,普利退(退市)
300633,开立医疗
300634,彩讯股份
300638,广和通
300639,凯普生物
300653,正海生物
300655,晶瑞电材
300662,科锐国际
300663,科蓝软件
300666,江丰电子
300671,富满微
300672,国科微
300674,宇信科技
300679,电连技术
300685,艾德生物
300687,赛意信息
300693,盛弘股份
300696,爱乐达
300702,天宇股份
300723,一品红
300725,药石科技
300726,宏达电子
300735,光弘科技
300737,科顺股份
300738,奥飞数据
300741,华宝股份
300747,锐科激光
300755,华致酒行
300761,立华股份
300762,上海瀚讯
300765,新诺威
300767,震安科技
300768,迪普科技
300770,新媒股份
300772,运达股份
300773,拉卡拉
300775,三角防务
300777,中简科技
300783,三只松鼠
300792,壹网壹创
300803,指南针
300811,铂科新材
300820,英杰电气
300821,东岳硅材
300827,上能电气
300841,康华生物
300855,图南股份
300856,科思股份
300860,锋尚文化
300869,康泰医学
300887,谱尼测试
300894,火星人
300910,瑞丰新材
300953,震裕科技
300973,立高食品
301015,百洋医药
301031,中熔电气
301035,润丰股份
301039,中集车辆
301047,义翘神州
301050,雷电微力
301060,兰卫医学
301069,凯盛新材
301071,力量钻石
301078,孩子王
301080,百普赛斯
301087,可孚医疗
301089,拓新药业
301090,华润材料
301095,广立微
301153,中科江南
301155,海力风电
301165,锐捷网络
301171,易点天下
301175,中科环保
301177,迪阿股份
301180,万祥科技
301200,大族数控
301205,联特科技
301207,华兰疫苗
301216,万凯新材
301217,铜冠铜箔
301219,腾远钴业
301238,瑞泰新材
301239,普瑞眼科
301246,宏源药业
301262,海看股份
301267,华厦眼科
301268,铭利达
301286,侨源股份
301291,明阳电气
301293,三博脑科
301301,川宁生物
301308,江波龙
301316,慧博云通
301325,曼恩斯特
301327,华宝新能
301358,湖南裕能
301363,美好医疗
301367,瑞迈特
301376,致欧科技
301381,赛维时代
600006,东风股份
600007,中国国贸
600012,皖通高速
600017,日照港
600037,歌华有线
600055,万东医疗
600057,厦门象屿
600058,五矿发展
600059,古越龙山
600063,皖维高新
600064,南京高科
600072,中船科技
600073,光明肉业
600075,新疆天业
600098,广州发展
600100,同方股份
600110,诺德股份
600116,三峡水利
600120,浙江东方
600123,兰花科创
600125,铁龙物流
600138,中青旅
600151,航天机电
600158,中体产业
600163,中闽能源
600169,ST太重
600172,黄河旋风
600179,安通控股
600185,珠免集团
600195,中牧股份
600197,伊力特
600201,生物股份
600206,有研新材
600210,紫江企业
600211,西藏药业
600216,浙江医药
600217,中再资环
600223,福瑞达
600225,退市卓朗(退市)
600246,万通发展
600248,陕建股份
600252,中恒集团
600259,中稀有色
600266,城建发展
600267,海正药业
600273,嘉化能源
600277,ST亿利(退市)
600284,浦东建设
600285,羚锐制药
600295,鄂尔多斯
600305,恒顺醋业
600312,平高电气
600313,农发种业
600320,振华重工
600323,瀚蓝环境
600328,中盐化工
600330,天通股份
600331,宏达股份
600335,国机汽车
600338,西藏珠峰
600340,华夏幸福
600360,*ST华微
600361,创新新材
600363,联创光电
600366,宁波韵升
600389,江山股份
600391,航发科技
600395,盘江股份
600400,红豆股份
600403,大有能源
600409,三友化工
600420,国药现代
600422,昆药集团
600428,中远海特
600446,金证股份
600449,宁夏建材
600452,涪陵电力
600456,宝钛股份
600458,时代新材
600459,贵研铂业
600475,华光环能
600477,杭萧钢构
600478,科力远
600480,凌云股份
600483,福能股份
600490,鹏欣资源
600491,龙元建设
600496,精工钢构
600502,安徽建工
600507,方大特钢
600508,上海能源
600510,黑牡丹
600531,豫光金铅
600550,保变电气
600552,凯盛科技
600556,天下秀
600557,康缘药业
600559,老白干酒
600562,国睿科技
600572,康恩贝
600575,淮河能源
600577,精达股份
600578,京能电力
600586,金晶科技
600587,新华医疗
600595,中孚实业
600596,新安股份
600601,方正科技
600602,云赛智联
600604,市北高新
600610,中毅达
600612,老凤祥
600618,氯碱化工
600621,华鑫股份
600623,华谊集团
600633,浙数文化
600635,大众公用
600639,浦东金桥
600641,先导基电
600643,爱建集团
600645,中源协和
600648,外高桥
600649,城投控股
600657,信达地产
600662,外服控股
600667,太极实业
600675,中华企业
600682,南京新百
600685,中船防务
600688,上海石化
600691,潞化科技
600696,*ST岩石
600710,苏美达
600711,盛屯矿业
600717,天津港
600718,东软集团
600720,中交设计
600728,佳都科技
600729,重庆百货
600740,山西焦化
600750,华润江中
600751,海航科技
600761,安徽合力
600770,综艺股份
600771,广誉远
600773,西藏城投
600775,南京熊猫
600776,东方通信
600777,*ST新潮
600780,通宝能源
600782,新钢股份
600783,鲁信创投
600787,中储股份
600797,浙大网新
600810,神马股份
600811,*ST东方(退市)
600812,华北制药
600821,金开新能
600835,上海机电
600850,电科数字
600861,北京人力
600864,哈投股份
600869,远东股份
600872,中炬高新
600874,创业环保
600876,凯盛新能
600877,电科芯片
600882,妙可蓝多
600888,新疆众和
600903,贵州燃气
600908,无锡银行
600916,中国黄金
600929,雪天盐业
600933,爱柯迪
600955,维远股份
600963,岳阳林纸
600966,博汇纸业
600971,恒源煤电
600976,健民集团
600986,浙文互联
600993,马应龙
600996,贵广网络
600997,开滦股份
601001,晋控煤业
601011,宝泰隆
601015,陕西黑猫
601019,山东出版
601022,宁波远洋
601028,玉龙股份(退市)
601068,中铝国际
601069,西部黄金
601099,太平洋
601101,昊华能源
601126,四方股份
601137,博威合金
601163,三角轮胎
601200,上海环境
601208,东材科技
601212,白银有色
601222,林洋能源
601279,英利汽车
601311,骆驼股份
601326,秦港股份
601330,绿色动力
601333,广深铁路
601369,陕鼓动力
601375,中原证券
601399,国机重装
601515,衢州东峰
601519,大智慧
601528,瑞丰银行
601567,三星医疗
601606,长城军工
601609,金田股份
601619,嘉泽新能
601677,明泰铝业
601678,滨化股份
601702,华峰铝业
601718,际华集团
601777,千里科技
601801,皖新传媒
601811,新华文轩
601858,中国科传
601860,紫金银行
601869,长飞光纤
601882,海天精工
601886,江河集团
601890,亚星锚链
601908,京运通
601918,新集能源
601921,浙版传媒
601949,中国出版
601952,苏垦农发
601963,重庆银行
601965,中国汽研
601969,海南矿业
601975,招商南油
603005,晶方科技
603008,喜临门
603010,万盛股份
603013,亚普股份
603025,大豪科技
603027,千禾味业
603032,德新科技
603033,三维股份
603043,广州酒家
603055,台华新材
603057,紫燕食品
603063,禾望电气
603071,物产环能
603083,剑桥科技
603087,甘李药业
603093,南华期货
603098,森特股份
603100,川仪股份
603103,横店影视
603105,芯能科技
603108,润达医疗
603113,金能科技
603118,共进股份
603123,翠微股份
603128,华贸物流
603129,春风动力
603132,金徽股份
603162,海通发展
603169,兰石重装
603170,宝立食品
603171,税友股份
603179,新泉股份
603187,海容冷链
603197,保隆科技
603208,江山欧派
603212,赛伍技术
603229,奥翔药业
603236,移远通信
603279,景津装备
603281,江瀚新材
603297,永新光学
603298,杭叉集团
603299,苏盐井神
603300,海南华铁
603301,振德医疗
603306,华懋科技
603308,应流股份
603323,苏农银行
603328,依顿电子
603348,文灿股份
603363,傲农生物
603368,柳药集团
603393,新天然气
603396,金辰股份
603439,三力制药
603466,风语筑
603477,巨星农牧
603489,八方股份
603505,金石资源
603530,神马电力
603533,掌阅科技
603556,海兴电力
603565,中谷物流
603566,普莱柯
603567,珍宝岛
603583,捷昌驱动
603588,高能环境
603595,ST东尼
603599,广信股份
603609,禾丰股份
603612,索通发展
603636,南威软件
603638,艾迪精密
603666,亿嘉和
603678,火炬电子
603690,至纯科技
603693,江苏新能
603699,纽威股份
603713,密尔克卫
603718,海利生物
603719,良品铺子
603728,鸣志电器
603730,岱美股份
603733,仙鹤股份
603766,隆鑫通用
603801,志邦家居
603871,嘉友国际
603876,鼎胜新材
603877,太平鸟
603881,数据港
603888,新华网
603896,寿仙谷
603906,龙蟠科技
603915,国茂股份
603919,金徽酒
603920,世运电路
603936,博敏电子
603938,三孚股份
603979,金诚信
603983,丸美生物
603985,恒润股份
603989,艾华集团
603995,甬金股份
603997,继峰股份
605009,豪悦护理
605020,永和股份
605090,九丰能源
605111,新洁能
605123,派克新材
605168,三人行
605222,起帆电缆
605333,沪光股份
605338,巴比食品
605365,立达信
605369,拱东医疗
605376,博迁新材
605507,国邦医药
605589,圣泉集团
688001,华兴源创
688007,光峰科技
688016,心脉医疗
688017,绿的谐波
688018,乐鑫科技
688019,安集科技
688023,安恒信息
688027,国盾量子
688031,星环科技-U
688033,天宜新材
688037,芯源微
688046,药康生物
688048,长光华芯
688050,爱博医疗
688066,航天宏图
688083,中望软件
688088,虹软科技
688091,上海谊众
688097,博众精工
688100,威胜信息
688106,金宏气体
688110,东芯股份
688116,天奈科技
688123,聚辰股份
688127,蓝特光学
688128,中国电研
688131,皓元医药
688133,泰坦科技
688139,海尔生物
688152,麒麟信安
688158,优刻得-W
688161,威高骨科
688166,博瑞医药
688167,炬光科技
688173,希荻微
688185,康希诺
688190,云路股份
688192,迪哲医药-U
688198,佰仁医疗
688202,美迪西
688206,概伦电子
688209,英集芯
688213,思特威-W
688232,新点软件
688235,百济神州-U
688238,和元生物
688239,航宇科技
688261,东微半导
688262,国芯科技
688266,泽璟制药-U
688268,华特气体
688270,臻镭科技
688275,万润新能
688278,特宝生物
688289,圣湘生物
688298,东方生物
688315,诺禾致源
688318,财富趋势
688321,微芯生物
688322,奥比中光-UW
688326,经纬恒润-W
688327,云从科技-UW
688333,铂力特
688337,普源精电
688339,亿华通-U
688351,微电生理
688356,键凯科技
688366,昊海生科
688368,晶丰明源
688372,伟测科技
688380,中微半导
688381,帝奥微
688383,新益昌
688388,嘉元科技
688389,普门科技
688392,骄成超声
688400,凌云光
688403,汇成股份
688408,中信博
688409,富创精密
688439,振华风光
688499,利元亨
688508,芯朋微
688518,联赢激光
688526,科前生物
688556,高测股份
688559,海目星
688568,中科星图
688575,亚辉龙
688578,艾力斯
688586,江航装备
688596,正帆科技
688598,金博股份
688608,恒玄科技
688617,惠泰医疗
688630,芯碁微装
688639,华恒生物
688660,电气风电
688676,金盘科技
688680,海优新材
688686,奥普特
688696,极米科技
688700,东威科技
688707,振华新材
688711,宏微科技
688733,壹石通
688739,成大生物
688776,国光电气
688789,宏华数科
688798,艾为电子
688800,瑞可达
